districts,province,postal_code
Alaior,Balears Illes,7730
Alaro,Balears Illes,7340
Alcudia,Balears Illes,7400
Algaida,Balears Illes,7210
Andratx,Balears Illes,7150
Ariany,Balears Illes,7529
Arta,Balears Illes,7570
Banyalbufar,Balears Illes,7191
Binissalem,Balears Illes,7350
Buger,Balears Illes,7311
Bunyola,Balears Illes,7110
Calvia,Balears Illes,7184
Campanet,Balears Illes,7310
Campos,Balears Illes,7630
Capdepera,Balears Illes,7580
Castell Es,Balears Illes,7409
Ciutadella de Menorca,Balears Illes,7760
Consell,Balears Illes,7330
Costitx,Balears Illes,7144
Deia,Balears Illes,7179
Eivissa,Balears Illes,7800
Escorca,Balears Illes,7315
Esporles,Balears Illes,7190
Estellencs,Balears Illes,7192
Felanitx,Balears Illes,7200
Ferreries,Balears Illes,7750
Formentera,Balears Illes,7470
Fornalutx,Balears Illes,7109
Inca,Balears Illes,7300
Lloret de Vistalegre,Balears Illes,7518
Lloseta,Balears Illes,7360
Llubi,Balears Illes,7430
Llucmajor,Balears Illes,7620
Mao,Balears Illes,7700
Manacor,Balears Illes,7500
Mancor de la Vall,Balears Illes,7312
Maria de la Salut,Balears Illes,7519
Marratxi,Balears Illes,7141
Mercadal Es,Balears Illes,7740
Migjorn Gran Es,Balears Illes,7781
Montuiri,Balears Illes,7230
Muro,Balears Illes,7440
Palma de Mallorca,Balears Illes,7001
Petra,Balears Illes,7520
Sa Pobla,Balears Illes,7420
Pollensa,Balears Illes,7460
Porreres,Balears Illes,7260
Puigpunyent,Balears Illes,7194
Ses Salines,Balears Illes,7748
Sant Antoni de Portmany,Balears Illes,7820
Sant Joan,Balears Illes,7240
Sant Joan de Labritja,Balears Illes,7810
Sant Josep de sa Talaia,Balears Illes,7830
Sant Llorenc des Cardassar,Balears Illes,7530
Sant Lluis,Balears Illes,7710
Santa Eugenia,Balears Illes,7142
Santa Eulalia del Rio,Balears Illes,7840
Santa Margalida,Balears Illes,7450
Santa Maria del Cami,Balears Illes,7320
Santanyi,Balears Illes,7650
Selva,Balears Illes,7313
Sencelles,Balears Illes,7140
Sineu,Balears Illes,7510
Soller,Balears Illes,7100
Son Servera,Balears Illes,7550
Valldemossa,Balears Illes,7170
Vilafranca de Bonany,Balears Illes,7250
